T_ann,T_sM,T_sm,T_wM,T_wm ,P_ann,P_sM,P_sm,P_wM,P_wm ,dem,target
15.535,30.078,17.787,21.222,-4.2725,49.096,13.295,2.2734,2.672,0.42916,90,Dwa
15.535,30.078,17.787,21.222,-4.2725,49.121,13.309,2.2732,2.6728,0.42962,101,Dwa
16.028,30.301,18.221,21.876,-3.8612,49.105,13.277,2.2772,2.6713,0.4297,99,Dwa
15.624,30.135,17.893,21.338,-4.205,49.146,13.322,2.2731,2.6735,0.43008,112,Dwa
16.028,30.301,18.221,21.876,-3.8612,49.13,13.29,2.2771,2.6721,0.43016,90,Dwa
15.48,29.899,17.926,21.285,-4.2225,49.171,13.336,2.2729,2.6743,0.43054,115,Dwa
16.087,30.704,18.332,21.736,-3.85,49.155,13.303,2.277,2.6728,0.43062,83,Dwa
15.671,29.329,18.089,21.506,-4.1138,49.139,13.271,2.2809,2.6714,0.4307,123,Dwa
15.905,30.625,18.342,21.704,-4.0012,49.18,13.317,2.2769,2.6736,0.43108,81,Dwa
15.671,29.329,18.089,21.506,-4.1138,49.164,13.285,2.2809,2.6722,0.43116,105,Dwa
15.573,30.136,18.134,21.512,-4.1513,49.205,13.33,2.2767,2.6744,0.43154,84,Dwa
15.813,29.695,18.301,21.686,-3.9925,49.189,13.298,2.2807,2.6729,0.43162,92,Dwa
15.755,29.615,18.135,21.721,-4.0063,49.173,13.266,2.2846,2.6715,0.4317,145,Dwa
15.718,29.971,18.308,21.695,-4.1137,49.214,13.312,2.2806,2.6738,0.43208,83,Dwa
15.755,29.615,18.135,21.721,-4.0063,49.198,13.28,2.2846,2.6723,0.43216,121,Dwa
15.383,29.578,18.024,21.482,-4.4537,49.239,13.325,2.2805,2.6745,0.43253,81,Dwa
15.671,29.329,18.089,21.506,-4.1138,49.223,13.293,2.2845,2.673,0.43262,101,Dwa
15.198,28.922,17.632,21.461,-4.9413,49.207,13.261,2.2884,2.6716,0.4327,151,Dwa
15.813,29.695,18.301,21.686,-3.9925,49.248,13.306,2.2844,2.6739,0.43307,92,Dwa
15.091,29.34,17.665,20.751,-4.8312,49.232,13.274,2.2883,2.6724,0.43316,132,Dwa
15.718,29.971,18.308,21.695,-4.1137,49.273,13.32,2.2843,2.6746,0.43353,107,Dwa
15.086,28.818,17.792,20.744,-4.7813,49.257,13.288,2.2882,2.6732,0.43362,109,Dwa
15.388,29.362,18.155,21.321,-4.365,49.282,13.301,2.2882,2.674,0.43407,86,Dwa
15.286,29.304,17.959,21.279,-4.455,49.307,13.315,2.2881,2.6748,0.43453,94,Dwa
13.202,27.858,16.256,18.951,-8.6638,47.899,12.959,2.2542,2.5483,0.46417,246,Dwa
13.666,28.381,16.684,19.441,-8.3525,47.924,12.97,2.2547,2.5485,0.46466,292,Dwa
13.666,28.381,16.684,19.441,-8.3525,47.876,12.951,2.2532,2.5462,0.46481,228,Dwa
13.752,28.713,16.705,19.392,-8.34,47.95,12.982,2.2553,2.5488,0.46516,288,Dwa
14.266,29.316,17.129,20.013,-7.6087,47.901,12.962,2.2538,2.5464,0.46531,247,Dwa
14.266,29.316,17.129,20.013,-7.6087,47.853,12.942,2.2522,2.544,0.46545,193,Dwa
13.145,27.688,16.005,18.868,-8.5137,47.976,12.994,2.2558,2.549,0.46565,263,Dwa
13.752,28.713,16.705,19.392,-8.34,47.927,12.974,2.2544,2.5466,0.46581,210,Dwa
14.663,29.899,17.327,20.101,-7.4838,47.878,12.954,2.2528,2.5443,0.46596,193,Dwa
14.663,29.899,17.327,20.101,-7.4838,47.829,12.934,2.2511,2.5418,0.46609,167,Dwa
13.012,27.326,15.902,18.938,-7.975,48.001,13.006,2.2563,2.5492,0.46614,312,Dwa
13.145,27.688,16.005,18.868,-8.5137,47.952,12.986,2.2549,2.5469,0.46631,267,Dwa
13.575,28.825,16.391,18.968,-8.5225,47.904,12.966,2.2535,2.5445,0.46647,180,Dwa
14.762,29.973,17.296,20.181,-7.2638,47.855,12.946,2.2519,2.5421,0.46661,155,Dwa
14.663,29.899,17.327,20.101,-7.4838,47.807,12.926,2.2502,2.5397,0.46674,168,Dwa
